date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:28	159/159	---M--	200	added ('OK')	text/plain	etag:%229f-5ca54b440b748%22	https://www.highervisibility.com/robots.txt		(from )
14:41:28	129355/129355	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:29%20GMT	https://www.highervisibility.com/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/index.html	(from )
14:41:30	39929/39929	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2006:41:30%20GMT	https://www.highervisibility.com/o,baseURI	E:/Website/highervisibility/highervisibility/www.highervisibility.com/o,baseURI	(from https://www.highervisibility.com/)
14:41:31	39917/39917	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2006:41:31%20GMT	https://www.highervisibility.com/GET	E:/Website/highervisibility/highervisibility/www.highervisibility.com/GET	(from https://www.highervisibility.com/)
14:41:32	14859/14859	---M--	200	added ('OK')	image/png	etag:%2261204474-3a90%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/uploads/2019/01/home-hero-graph.png	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/uploads/2019/01/home-hero-graph.png	(from https://www.highervisibility.com/)
14:41:32	39921/39921	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2006:41:32%20GMT	https://www.highervisibility.com/Edge/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/Edge/index.html	(from https://www.highervisibility.com/)
14:41:32	2506/2506	---M--	200	added ('OK')	image/png	etag:%2261204474-a5b%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/themes/highervisibility_new/img/ghost-graph.png	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/themes/highervisibility_new/img/ghost-graph.png	(from https://www.highervisibility.com/)
14:41:34	209077/209077	---M--	200	added ('OK')	image/jpeg	etag:%2261204601-33138%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/uploads/2019/01/home-hero-bg.jpg	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/uploads/2019/01/home-hero-bg.jpg	(from https://www.highervisibility.com/)
14:41:34	7784/7784	---MC-	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2006:41:34%20GMT	https://www.highervisibility.com/wp-json/wp/v2/pages/9	E:/Website/highervisibility/highervisibility/www.highervisibility.com/wp-json/wp/v2/pages/9.json	(from https://www.highervisibility.com/)
14:41:35	712/712	---MC-	200	added ('OK')	application/rss+xml	etag:%22a412b22209d897046c44af734123d6c1%22	https://www.highervisibility.com/home/feed/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/home/feed/index.html	(from https://www.highervisibility.com/)
14:41:36	858/858	---MC-	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2006:41:36%20GMT	https://www.highervisibility.com/xmlrpc.php?rsd	E:/Website/highervisibility/highervisibility/www.highervisibility.com/xmlrpc0db0.php	(from https://www.highervisibility.com/)
14:41:36	137953/137953	---MC-	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2006:41:35%20GMT	https://www.highervisibility.com/wp-json/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/wp-json/index.html	(from https://www.highervisibility.com/)
14:41:36	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22415-562959f035c40%22	https://www.highervisibility.com/wp-includes/wlwmanifest.xml	E:/Website/highervisibility/highervisibility/www.highervisibility.com/wp-includes/wlwmanifest.xml	(from https://www.highervisibility.com/)
14:41:37	2468/2468	---MC-	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2006:41:37%20GMT	https://www.highervisibility.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.highervisibility.com%2F	E:/Website/highervisibility/highervisibility/www.highervisibility.com/wp-json/oembed/1.0/embedb66d.json	(from https://www.highervisibility.com/)
14:41:38	2558/2558	---MC-	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2006:41:38%20GMT	https://www.highervisibility.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.highervisibility.com%2F&format=xml	E:/Website/highervisibility/highervisibility/www.highervisibility.com/wp-json/oembed/1.0/embedd4a6	(from https://www.highervisibility.com/)
14:41:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Sep%202021%2006:41:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/Website/highervisibility/highervisibility/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.highervisibility.com/)
14:41:40	25748/25748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22611e322d-6494%22	https://cdn.outfunnel.com/c.js?v=	E:/Website/highervisibility/highervisibility/cdn.outfunnel.com/cec92.js	(from https://www.highervisibility.com/)
14:41:41	121487/121487	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:41%20GMT	https://www.highervisibility.com/online-marketing-services/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/online-marketing-services/index.html	(from https://www.highervisibility.com/)
14:41:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2006:41:41%20GMT	https://www.highervisibility.com/blog	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog	(from https://www.highervisibility.com/)
14:41:42	121738/121738	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:42%20GMT	https://www.highervisibility.com/website-design/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/website-design/index.html	(from https://www.highervisibility.com/)
14:41:42	134144/134144	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:42%20GMT	https://www.highervisibility.com/seo/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/seo/index.html	(from https://www.highervisibility.com/)
14:41:42	126493/126493	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:42%20GMT	https://www.highervisibility.com/ppc-management/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/ppc-management/index.html	(from https://www.highervisibility.com/)
14:41:43	124579/124579	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:43%20GMT	https://www.highervisibility.com/link-building/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/link-building/index.html	(from https://www.highervisibility.com/)
14:41:43	114930/114930	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:44%20GMT	https://www.highervisibility.com/conversion-rate-optimization/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/conversion-rate-optimization/index.html	(from https://www.highervisibility.com/)
14:41:43	39919/39919	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2006:41:43%20GMT	https://www.highervisibility.com/POST	E:/Website/highervisibility/highervisibility/www.highervisibility.com/POST	(from https://www.highervisibility.com/)
14:41:44	118035/118035	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:43%20GMT	https://www.highervisibility.com/social-media-marketing/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/social-media-marketing/index.html	(from https://www.highervisibility.com/)
14:41:44	127589/127589	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:44%20GMT	https://www.highervisibility.com/local-seo-company/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/local-seo-company/index.html	(from https://www.highervisibility.com/)
14:41:44	122872/122872	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:44%20GMT	https://www.highervisibility.com/local-listings/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/local-listings/index.html	(from https://www.highervisibility.com/)
14:41:44	126607/126607	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:45%20GMT	https://www.highervisibility.com/ecommerce-seo-services/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/ecommerce-seo-services/index.html	(from https://www.highervisibility.com/)
14:41:45	124776/124776	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:45%20GMT	https://www.highervisibility.com/franchise-seo-services/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/franchise-seo-services/index.html	(from https://www.highervisibility.com/)
14:41:45	120556/120556	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:45%20GMT	https://www.highervisibility.com/seo-audit/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/seo-audit/index.html	(from https://www.highervisibility.com/)
14:41:45	116585/116585	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:46%20GMT	https://www.highervisibility.com/google-penalty-recovery/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/google-penalty-recovery/index.html	(from https://www.highervisibility.com/)
14:41:46	117745/117745	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:46%20GMT	https://www.highervisibility.com/about-us/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/about-us/index.html	(from https://www.highervisibility.com/)
14:41:46	119603/119603	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:46%20GMT	https://www.highervisibility.com/management-team/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/management-team/index.html	(from https://www.highervisibility.com/)
14:41:46	122284/122284	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:47%20GMT	https://www.highervisibility.com/portfolio/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/portfolio/index.html	(from https://www.highervisibility.com/)
14:41:46	141852/141852	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:47%20GMT	https://www.highervisibility.com/client-reviews/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/client-reviews/index.html	(from https://www.highervisibility.com/)
14:41:47	119919/119919	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:47%20GMT	https://www.highervisibility.com/blog/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/index.html	(from https://www.highervisibility.com/)
14:41:47	119521/119521	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:47%20GMT	https://www.highervisibility.com/resource/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/resource/index.html	(from https://www.highervisibility.com/)
14:41:47	115222/115222	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:48%20GMT	https://www.highervisibility.com/free-seo-tools/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/free-seo-tools/index.html	(from https://www.highervisibility.com/)
14:41:47	109384/109384	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:48%20GMT	https://www.highervisibility.com/contact-us/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/contact-us/index.html	(from https://www.highervisibility.com/)
14:41:48	123656/123656	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:48%20GMT	https://www.highervisibility.com/case-study/allied-van-lines/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/allied-van-lines/index.html	(from https://www.highervisibility.com/)
14:41:48	120501/120501	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:48%20GMT	https://www.highervisibility.com/case-study/allure-bridals/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/allure-bridals/index.html	(from https://www.highervisibility.com/)
14:41:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2006:41:45%20GMT	https://www.highervisibility.com/memphis-marketing	E:/Website/highervisibility/highervisibility/www.highervisibility.com/memphis-marketing	(from https://www.highervisibility.com/)
14:41:48	122834/122834	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:49%20GMT	https://www.highervisibility.com/case-study/caliber-collision-seo/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/caliber-collision-seo/index.html	(from https://www.highervisibility.com/)
14:41:49	123917/123917	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:49%20GMT	https://www.highervisibility.com/case-study/restoration-roofing/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/restoration-roofing/index.html	(from https://www.highervisibility.com/)
14:41:49	123190/123190	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:49%20GMT	https://www.highervisibility.com/case-study/smartbox/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/smartbox/index.html	(from https://www.highervisibility.com/)
14:41:49	121055/121055	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:50%20GMT	https://www.highervisibility.com/case-study/fitness-19/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/fitness-19/index.html	(from https://www.highervisibility.com/)
14:41:50	121157/121157	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:50%20GMT	https://www.highervisibility.com/case-study/varco-pruden/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/case-study/varco-pruden/index.html	(from https://www.highervisibility.com/)
14:41:50	137901/137901	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:50%20GMT	https://www.highervisibility.com/blog/check-google-rankings/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/check-google-rankings/index.html	(from https://www.highervisibility.com/)
14:41:50	126874/126874	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:51%20GMT	https://www.highervisibility.com/blog/outsourced-lead-generation/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/outsourced-lead-generation/index.html	(from https://www.highervisibility.com/)
14:41:52	89496/89496	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-15e2b%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.min.js	(from https://www.highervisibility.com/)
14:41:52	143239/143239	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:51%20GMT	https://www.highervisibility.com/blog/seo-certifications/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/seo-certifications/index.html	(from https://www.highervisibility.com/)
14:41:53	180591/180591	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:51%20GMT	https://www.highervisibility.com/blog/ecommerce-seo/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/ecommerce-seo/index.html	(from https://www.highervisibility.com/)
14:41:53	141579/141579	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:51%20GMT	https://www.highervisibility.com/blog/seo-website-conversion-stats/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/seo-website-conversion-stats/index.html	(from https://www.highervisibility.com/)
14:41:53	133016/133016	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:54%20GMT	https://www.highervisibility.com/blog/inbound-marketing-statistics/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/inbound-marketing-statistics/index.html	(from https://www.highervisibility.com/)
14:41:54	11224/11224	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-2c73%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery-migrate.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery-migrate.min.js	(from https://www.highervisibility.com/)
14:41:55	134736/134736	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:54%20GMT	https://www.highervisibility.com/blog/what-is-ppc-management/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/what-is-ppc-management/index.html	(from https://www.highervisibility.com/)
14:41:55	139235/139235	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:54%20GMT	https://www.highervisibility.com/blog/facebook-ads-vs-google-ads/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/facebook-ads-vs-google-ads/index.html	(from https://www.highervisibility.com/)
14:41:55	138645/138645	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:55%20GMT	https://www.highervisibility.com/blog/is-seo-worth-it/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/is-seo-worth-it/index.html	(from https://www.highervisibility.com/)
14:41:56	107877/107877	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:56%20GMT	https://www.highervisibility.com/careers/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/careers/index.html	(from https://www.highervisibility.com/)
14:41:56	130280/130280	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:57%20GMT	https://www.highervisibility.com/privacy-policy/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/privacy-policy/index.html	(from https://www.highervisibility.com/)
14:41:57	8371/8371	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-2153%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/cookie-notice/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.front.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/cookie-notice/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.front.min.js	(from https://www.highervisibility.com/)
14:41:57	116098/116098	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:57%20GMT	https://www.highervisibility.com/seo-reseller-program/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/seo-reseller-program/index.html	(from https://www.highervisibility.com/)
14:41:58	131072/131072	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:57%20GMT	https://www.highervisibility.com/marketing-scholarship/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/marketing-scholarship/index.html	(from https://www.highervisibility.com/)
14:41:58	138752/138752	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:57%20GMT	https://www.highervisibility.com/blog/ecommerce-marketing/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/blog/ecommerce-marketing/index.html	(from https://www.highervisibility.com/)
14:41:59	146297/146297	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:59%20GMT	https://www.highervisibility.com/seo/tools/serp-snippet-optimizer/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/seo/tools/serp-snippet-optimizer/index.html	(from https://www.highervisibility.com/)
14:41:59	1426/1426	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-63b%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.wp-embed.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.wp-embed.min.js	(from https://www.highervisibility.com/)
14:42:00	115079/115079	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:59%20GMT	https://www.highervisibility.com/industries/enterprise/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/enterprise/index.html	(from https://www.highervisibility.com/)
14:42:00	125674/125674	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:41:59%20GMT	https://www.highervisibility.com/free-seo-tools/ctr-tool/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/free-seo-tools/ctr-tool/index.html	(from https://www.highervisibility.com/)
14:42:01	123852/123852	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:01%20GMT	https://www.highervisibility.com/industries/lawyers/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/lawyers/index.html	(from https://www.highervisibility.com/)
14:42:01	122583/122583	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:02%20GMT	https://www.highervisibility.com/industries/contractors/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/contractors/index.html	(from https://www.highervisibility.com/)
14:42:01	114943/114943	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:02%20GMT	https://www.highervisibility.com/industries/cannabis/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/cannabis/index.html	(from https://www.highervisibility.com/)
14:42:01	115253/115253	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:02%20GMT	https://www.highervisibility.com/industries/automotive/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/automotive/index.html	(from https://www.highervisibility.com/)
14:42:03	211704/211704	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-33b98%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/formidable-pro/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frm.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/formidable-pro/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frm.min.js	(from https://www.highervisibility.com/)
14:42:04	128966/128966	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:02%20GMT	https://www.highervisibility.com/industries/saas/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/saas/index.html	(from https://www.highervisibility.com/)
14:42:04	121456/121456	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:03%20GMT	https://www.highervisibility.com/industries/hotels/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/hotels/index.html	(from https://www.highervisibility.com/)
14:42:05	134291/134291	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:02%20GMT	https://www.highervisibility.com/industries/gyms/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/gyms/index.html	(from https://www.highervisibility.com/)
14:42:05	123777/123777	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:06%20GMT	https://www.highervisibility.com/industries/plumbers/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/plumbers/index.html	(from https://www.highervisibility.com/)
14:42:06	140083/140083	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:05%20GMT	https://www.highervisibility.com/industries/plastic-surgery/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/plastic-surgery/index.html	(from https://www.highervisibility.com/)
14:42:06	124726/124726	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:06%20GMT	https://www.highervisibility.com/industries/manufacturing/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/manufacturing/index.html	(from https://www.highervisibility.com/)
14:42:06	127216/127216	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:07%20GMT	https://www.highervisibility.com/industries/hvac/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/hvac/index.html	(from https://www.highervisibility.com/)
14:42:06	118357/118357	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:07%20GMT	https://www.highervisibility.com/industries/pharmaceutical/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/pharmaceutical/index.html	(from https://www.highervisibility.com/)
14:42:07	120278/120278	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:07%20GMT	https://www.highervisibility.com/industries/realtor/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/realtor/index.html	(from https://www.highervisibility.com/)
14:42:07	119759/119759	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:07%20GMT	https://www.highervisibility.com/industries/home-builder/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/home-builder/index.html	(from https://www.highervisibility.com/)
14:42:07	117880/117880	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:08%20GMT	https://www.highervisibility.com/industries/doctors/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/industries/doctors/index.html	(from https://www.highervisibility.com/)
14:42:07	115082/115082	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2006:42:08%20GMT	https://www.highervisibility.com/memphis-marketing/	E:/Website/highervisibility/highervisibility/www.highervisibility.com/memphis-marketing/index.html	(from https://www.highervisibility.com/)
14:42:08	175/175	---M--	404	error ('Not%20Found')	text/css	date:Wed,%2008%20Sep%202021%2006:42:07%20GMT	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/combinedCss/nitro-min-noimport-9c61f08406dc0f7fc8158f9a6d21e6cc-stylesheet.css	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/combinedCss/nitro-min-noimport-9c61f08406dc0f7fc8158f9a6d21e6cc-stylesheet.1e.delayed	(from https://www.highervisibility.com/)
14:42:09	317/317	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261204476-1f3%22	https://cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/dk-pricr-responsive-pricing-table/inc/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.rpt.min.js	E:/Website/highervisibility/highervisibility/cdn-bnbkg.nitrocdn.com/fHTUSkGzNpMecGZasGsrEZDrbMjRPuVx/assets/static/optimized/rev-15c060d/wp-content/plugins/dk-pricr-responsive-pricing-table/inc/js/nitro-min-d41d8cd98f00b204e9800998ecf84	(from https://www.highervisibility.com/)
